prompt_id,stereotype_group_id,cos_similarity: neutral vs change_1,cos_similarity: neutral vs change_2,cos_similarity: neutral vs change_3,cos_similarity: neutral vs change_4,cos_similarity: neutral vs change_5,cos_similarity: change_1 vs change_2,cos_similarity: change_1 vs change_3,cos_similarity: change_1 vs change_4,cos_similarity: change_1 vs change_5,cos_similarity: change_2 vs change_3,cos_similarity: change_2 vs change_4,cos_similarity: change_2 vs change_5,cos_similarity: change_3 vs change_4,cos_similarity: change_3 vs change_5,cos_similarity: change_4 vs change_5
1,Dealing with Change,0.9103063742373076,0.8740570582023828,0.9648667091896808,0.9278318746420032,0.7272344711676955,0.8420052864297545,0.8949575421512082,0.8746140762808423,0.8182451434193209,0.8589032678481336,0.8524912959528426,0.6937947582265906,0.9349071106994238,0.6936039881879736,0.6666360463938868
2,Dealing with Change,0.93359527216718,0.908548452697666,0.8635853685575177,0.8168794569804474,0.7996904596312367,0.8937897508555706,0.871317191932593,0.8496572450783602,0.7967290340787903,0.8877431555038175,0.8461112811297218,0.816259901468827,0.8296152706026474,0.726761980924234,0.7157320706790373
3,Cognitive and Physical Abilities,0.612053684119573,0.871310214670445,0.7338999360205395,0.8116624807732828,0.7626808467956803,0.6349158570253342,0.6280398550259925,0.6424987054533315,0.6679327132732065,0.7202108707059582,0.7776250074278954,0.7946277238017707,0.7999852690538769,0.9102951005557324,0.7837848480204632
4,Cognitive and Physical Abilities,0.6630527709342605,0.7786223672610892,0.8098820192126478,0.8099732271382449,0.7693485830253052,0.6854648096902755,0.6259122990825919,0.6144757703940702,0.6898400656203546,0.8009371540838841,0.748473683686762,0.8285936895388115,0.7857086961780214,0.8263269200800525,0.7411587119945153
5,Dependent on Else,0.8815949942276184,0.923114188184645,0.8013765171949552,0.8284119918146406,0.9063731935301912,0.9006724080876023,0.9100411239996752,0.8869973272697013,0.8843656460930023,0.8519386484822267,0.8542713708352944,0.8927178142113399,0.8775735481713413,0.8381284409954509,0.8372484631749282
6,Cognitive and Physical Abilities,0.6246770007966743,0.8699964043483571,0.8337699859717692,0.6220396484937976,0.5887464405747067,0.6603554555754556,0.7123114026864372,0.9227557679901386,0.9648165558764116,0.839161477807543,0.6939612695392897,0.6339674714247996,0.7118499421723125,0.6798632481439721,0.9307044869209936
7,Dealing with Change,0.9448817086135544,0.8989378776663932,0.926488306625972,0.9272759007801444,0.9265453938698344,0.8710787179494126,0.9033009881507732,0.9088610078621596,0.9214895535735538,0.8632983115812614,0.8845452616227198,0.8730214228003107,0.9321902771830652,0.9266607620961416,0.960032625330536
8,Dealing with Change,0.5368740042305181,0.6842735427935827,0.719429156362917,0.7730443675656127,0.7387850615580579,0.7929122001608189,0.8158178277177299,0.6638789918815289,0.7442275235698037,0.9118422804517564,0.8358096252205431,0.8795791776501485,0.8328700585772364,0.925666780686938,0.8258940539441693
9,Dependent on Else,0.8956151230871043,0.838239402388137,0.9003149057959732,0.894595348652647,0.9079908144786633,0.8388636013514772,0.8543511591175967,0.8910178587902726,0.9279638739760724,0.8155975739299199,0.8249553759980377,0.8328050816105583,0.8470031824992469,0.8370062276092837,0.8868016642649382
10,Dependent on Else,0.8993465347726575,0.7873776596227359,0.671351070788982,0.9084144849468282,0.9372176378795832,0.7838366187450498,0.6048220806121218,0.8363387750231412,0.9167047368928688,0.5733467032699756,0.8116866691551045,0.7978850137709061,0.7453861527458622,0.6881020947736347,0.9111244532211956
11,Cognitive and Physical Abilities,0.6395252909977609,0.7108774333863409,0.511394731096553,0.565984150716128,0.5387113000443713,0.7681968429409719,0.8020864415185822,0.7148437900091981,0.7418892530037668,0.6722469406044165,0.788377801755374,0.6106319257584913,0.6902030214571844,0.7855657788986217,0.6154805187473462
12,Cognitive and Physical Abilities,0.7994068196802798,0.7245117898863762,0.7703971103253107,0.7512549793221668,0.7813078328406422,0.679378192035538,0.7640805494295694,0.8477889744353821,0.7903101654660077,0.9014776178858972,0.6135474732907797,0.8878627968272392,0.6474801301587879,0.9303783965176008,0.7003089453224959
13,Emotional Instability,0.6647495558062654,0.9060555598137268,0.7553079807670211,0.5352778759450639,0.3073923720485011,0.7216284403773374,0.6694891811617981,0.5437321682368635,0.272695812101085,0.7510850725976932,0.5703643042374449,0.3708083485817698,0.6599713642677896,0.4009157625571016,0.5215555175922346
14,Emotional Instability,0.6419901471901178,0.8030918535331958,0.5616118360094844,0.7156252641306817,0.8013925557317251,0.6011717558473786,0.5902442407988295,0.742323774211435,0.5772743111671954,0.5677503380901231,0.6694227242043783,0.9159824024077894,0.7234640012371916,0.5698695776583546,0.6950473901960905
15,Emotional Instability,0.8322936648632002,0.7174922704969915,0.8231477561763165,0.7946915725324384,0.7813706233490446,0.6800588035512068,0.8469927567325806,0.7169571000576216,0.752812002437717,0.7419402996653708,0.5789165303475742,0.8737723889279916,0.7162426183502058,0.7985590190013905,0.6738900182109964
16,Emotional Instability,0.8823905854723164,0.8643840516070098,0.8996476544555043,0.8932379264319095,0.8747430500925819,0.8971397296109164,0.9497842564094664,0.8920832605372055,0.90706572913416,0.9106571809966582,0.8968570751646421,0.8888005476681158,0.9290957817022792,0.906508300364382,0.882498846848425
17,Emotional Instability,0.8702880345802309,0.9421105149793232,0.8803248602280495,0.9000096597562951,0.9035427339246213,0.8636051166932779,0.8662682925227305,0.8420635745349329,0.8286311952008296,0.907707305440704,0.9250352745144156,0.903570844499296,0.908623070621522,0.9054469112695708,0.9034566028581064
